CustomerID,Age,Gender,Family,VisitFrequency,AverageSpend,FavoriteSection,PaymentMethod,DiscountsUsed,OnlineOrder,Review
1,59,Male,SmallFamily,6,55,Dairy,MobilePayment,1,1,1.2
2,63,Female,Couple,6,53,Dairy,Cash,0,0,2.6
3,67,Male,SmallFamily,8,31,Produce,Cash,0,0,2.5
4,68,Female,LargeFamily,4,101,Produce,CreditCard,0,1,4.7
5,46,Female,SmallFamily,3,76,Dairy,MobilePayment,0,0,2.0
6,63,Female,SmallFamily,5,55,Produce,MobilePayment,1,1,4.1
7,42,Male,Single,2,75,Meat,DebitCard,0,1,3.2
8,21,Female,LargeFamily,4,52,Meat,MobilePayment,0,0,1.6
9,58,Male,SmallFamily,3,23,Dairy,Cash,0,1,4.9
10,28,Male,Single,3,68,Bakery,DebitCard,0,1,3.3
11,39,Female,LargeFamily,3,45,Produce,CreditCard,0,0,1.9
12,51,Female,LargeFamily,2,8,Meat,DebitCard,1,1,4.3
13,61,Male,Single,4,82,Meat,CreditCard,0,1,2.8
14,59,Female,Couple,3,81,Produce,Cash,0,1,3.2
15,32,Female,Single,8,14,Bakery,CreditCard,0,0,2.3
16,61,Female,SmallFamily,4,28,Produce,CreditCard,1,0,4.9
17,51,Female,LargeFamily,1,41,Grocery,MobilePayment,0,1,1.0
18,29,Male,LargeFamily,3,32,Grocery,CreditCard,0,1,3.1
19,48,Female,LargeFamily,8,89,Produce,CreditCard,0,1,2.2
20,27,Male,Couple,6,51,Produce,CreditCard,1,0,3.4
21,43,Male,SmallFamily,5,46,Dairy,CreditCard,0,0,1.5
22,56,Female,SmallFamily,3,61,Dairy,CreditCard,0,1,2.2
23,40,Male,Couple,5,36,Grocery,Cash,0,0,4.2
24,30,Female,SmallFamily,2,49,Dairy,DebitCard,0,0,3.4
25,49,Female,LargeFamily,4,69,Dairy,DebitCard,1,0,2.1
26,61,Female,SmallFamily,3,58,Bakery,CreditCard,0,0,3.2
27,26,Male,Couple,5,54,Produce,DebitCard,0,0,4.8
28,33,Female,LargeFamily,4,70,Produce,Cash,1,0,1.9
29,64,Male,Couple,8,52,Grocery,DebitCard,1,1,2.0
30,53,Female,Couple,1,17,Bakery,DebitCard,1,1,4.1
31,27,Male,Single,8,117,Dairy,Cash,0,0,1.9
32,61,Male,SmallFamily,7,61,Dairy,DebitCard,0,0,5.0
33,49,Male,Single,6,96,Meat,Cash,0,1,1.6
34,46,Female,Single,3,57,Produce,DebitCard,1,0,4.7
35,54,Female,LargeFamily,4,58,Dairy,MobilePayment,0,0,3.9
36,38,Female,SmallFamily,2,16,Produce,MobilePayment,0,0,4.9
37,36,Male,SmallFamily,4,51,Grocery,CreditCard,1,1,4.3
38,28,Male,LargeFamily,4,81,Bakery,MobilePayment,0,0,1.1
39,41,Male,SmallFamily,8,43,Produce,MobilePayment,0,0,2.6
